index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,adjusted alpha,significant,marginally significant
1,coral-hunting-lions,,,,,,,,,,,,,
2,,bayou-reef-decision,,,,,,,,,,,,
3,,,const,-0.055788894,0.660928951,-0.084409821,0.932730599,-1.351185835,1.239608047,985,,0.047815534,0,0
4,,,Complete_A,1.553613066,0.309190983,5.024768346,5.04E-07,0.947609874,2.159616257,33,,0.001601942,1,1
5,,,Arg_above_2,-0.074843256,0.096911392,-0.772285431,0.439945393,-0.264786094,0.115099582,697,,0.033834951,0,0
6,,,Mod_above_2,0.340370486,0.094722906,3.593328178,0.000326481,0.154717002,0.52602397,92,,0.004466019,1,1
7,,,Exp_above_2,0.238485595,0.118902274,2.005727786,0.044885299,0.00544142,0.471529769,291,,0.014126214,0,0
8,,,Time,0.001182429,0.000999799,1.182666715,0.236941261,-0.000777141,0.003142,542,,0.02631068,0,0
9,,,Job,-0.130951401,0.054241913,-2.414210607,0.015769344,-0.237263597,-0.024639206,215,,0.010436893,0,1
10,,,Task,0.011963256,0.018959195,0.631000191,0.5280404,-0.025196084,0.049122596,751,,0.036456311,0,0
11,,,Biome,0.163487894,0.229765003,0.711543936,0.476747235,-0.286843236,0.613819025,714,,0.034660194,0,0
12,,,Session,-0.001212346,0.002656856,-0.456308551,0.648168116,-0.006419688,0.003994996,810,,0.039320388,0,0
13,,bayou-hide-n-seek,,,,,,,,,,,,
14,,,const,-0.033418221,0.659707831,-0.050656093,0.959599565,-1.32642181,1.259585367,994,,0.048252427,0,0
15,,,Complete_A,1.381647115,0.293500905,4.707471393,2.51E-06,0.806395911,1.956898319,41,,0.001990291,1,1
16,,,Arg_above_2,-0.07672692,0.096431687,-0.795660867,0.426229178,-0.265729553,0.112275714,686,,0.033300971,0,0
17,,,Mod_above_2,0.344494565,0.094747752,3.635912804,0.000276998,0.158792383,0.530196747,90,,0.004368932,1,1
18,,,Exp_above_2,0.233431878,0.118099471,1.976570064,0.048090249,0.001961169,0.464902588,297,,0.014417476,0,0
19,,,Time,0.001245947,0.001011484,1.231800925,0.218023458,-0.000736525,0.003228418,520,,0.025242718,0,0
20,,,Job,-0.129126184,0.053707281,-2.404258431,0.016205313,-0.234390522,-0.023861847,216,,0.010485437,0,1
21,,,Task,0.011261003,0.018783466,0.599516779,0.548828324,-0.025553914,0.048075921,765,,0.037135922,0,0
22,,,Biome,0.156038902,0.229407149,0.680183261,0.49638843,-0.293590847,0.605668652,733,,0.035582524,0,0
23,,,Session,-0.000835642,0.002613157,-0.319782681,0.749133078,-0.005957336,0.004286052,881,,0.04276699,0,0
24,,bayou-methanogen,,,,,,,,,,,,
25,,,const,-0.020713114,0.661097079,-0.031331426,0.975005229,-1.316439578,1.275013351,1004,,0.048737864,0,0
26,,,Complete_A,1.274244184,0.274136574,4.648209342,3.35E-06,0.736946372,1.811541995,44,,0.002135922,1,1
27,,,Arg_above_2,-0.092656399,0.095687315,-0.968324785,0.332882191,-0.28020009,0.094887293,625,,0.030339806,0,0
28,,,Mod_above_2,0.396616739,0.09673797,4.099907625,4.13E-05,0.207013803,0.586219675,58,,0.002815534,1,1
29,,,Exp_above_2,0.180865277,0.117253408,1.542516162,0.122948214,-0.04894718,0.410677734,405,,0.019660194,0,0
30,,,Time,0.001195827,0.000982742,1.216826677,0.223670168,-0.000730313,0.003121967,525,,0.025485437,0,0
31,,,Job,-0.120337397,0.053203163,-2.261846669,0.023706878,-0.224613681,-0.016061114,239,,0.011601942,0,0
32,,,Task,0.012058487,0.018595338,0.648468302,0.516682106,-0.024387706,0.048504681,743,,0.036067961,0,0
33,,,Biome,0.106604576,0.229062711,0.465394717,0.641648817,-0.342350088,0.55555924,803,,0.038980583,0,0
34,,,Session,-0.001143777,0.002661902,-0.429684147,0.667425417,-0.006361009,0.004073455,827,,0.040145631,0,0
35,arctic-endangered-seals,,,,,,,,,,,,,0
36,,bayou-reef-decision,,,,,,,,,,,,0
37,,,const,-0.402949419,0.841453214,-0.478873231,0.632028815,-2.052167413,1.246268574,797,,0.03868932,0,0
38,,,Complete_A,1.244766098,0.296717967,4.195115347,2.73E-05,0.663209569,1.826322627,54,,0.002621359,1,1
39,,,Arg_above_2,0.318825629,0.111381112,2.862474813,0.004203467,0.10052266,0.537128598,158,,0.007669903,1,1
40,,,Mod_above_2,0.19516441,0.10024236,1.946925543,0.051543662,-0.001307004,0.391635825,300,,0.014563107,0,0
41,,,Exp_above_2,0.067616227,0.130495266,0.518150802,0.604353057,-0.188149795,0.323382249,785,,0.038106796,0,0
42,,,Time,-0.00158844,0.001261791,-1.258877437,0.208074605,-0.004061505,0.000884625,511,,0.024805825,0,0
43,,,Job,-0.091653113,0.061432338,-1.491935953,0.135715936,-0.212058283,0.028752056,427,,0.020728155,0,0
44,,,Task,-0.051446864,0.019597916,-2.625119044,0.008661868,-0.089858074,-0.013035653,183,,0.008883495,1,1
45,,,Biome,0.429256593,0.31469612,1.364035227,0.172556479,-0.187536468,1.046049655,474,,0.023009709,0,0
46,,,Session,-0.002488959,0.002876296,-0.865334812,0.386855049,-0.008126394,0.003148477,657,,0.031893204,0,0
47,,arctic-cause-of-death,,,,,,,,,,,,0
48,,,const,-0.950502439,0.873654828,-1.087961068,0.276612295,-2.662834436,0.761829558,586,,0.028446602,0,0
49,,,Complete_A,1.442828012,0.415237187,3.474708092,0.00051141,0.628978082,2.256677943,103,,0.005,1,1
50,,,Arg_above_2,0.239058052,0.110750385,2.158530203,0.030886633,0.021991285,0.456124818,256,,0.012427184,0,0
51,,,Mod_above_2,0.2655744,0.099397567,2.671840062,0.007543659,0.07075875,0.460390051,178,,0.008640777,1,1
52,,,Exp_above_2,0.155665012,0.133000817,1.170406435,0.241837447,-0.105011799,0.416341824,547,,0.026553398,0,0
53,,,Time,-0.00119887,0.001187428,-1.009636233,0.312669604,-0.003526186,0.001128446,613,,0.029757282,0,0
54,,,Job,-0.134871408,0.063727563,-2.116374796,0.034312944,-0.259775136,-0.00996768,267,,0.012961165,0,0
55,,,Task,-0.040060555,0.01946149,-2.058452624,0.039546705,-0.078204374,-0.001916736,280,,0.013592233,0,0
56,,,Biome,0.503102698,0.315193324,1.596171807,0.11045044,-0.114664866,1.120870262,386,,0.018737864,0,0
57,,,Session,-0.001363923,0.002766874,-0.492947355,0.622049786,-0.006786896,0.00405905,791,,0.038398058,0,0
58,,bayou-methanogen,,,,,,,,,,,,0
59,,,const,-0.349441991,0.834622435,-0.418682719,0.675448027,-1.985271904,1.286387923,832,,0.04038835,0,0
60,,,Complete_A,1.171297436,0.287559313,4.073237705,4.64E-05,0.607691539,1.734903333,59,,0.002864078,1,1
61,,,Arg_above_2,0.251543678,0.110305595,2.280425377,0.022582472,0.035348685,0.467738671,235,,0.011407767,0,1
62,,,Mod_above_2,0.257156653,0.1005316,2.557968357,0.010528567,0.060118337,0.454194969,194,,0.009417476,0,1
63,,,Exp_above_2,0.034163004,0.130036762,0.262718047,0.792767906,-0.220704367,0.289030375,906,,0.043980583,0,0
64,,,Time,-0.001626617,0.001264759,-1.286107638,0.198405499,-0.0041055,0.000852266,501,,0.024320388,0,0
65,,,Job,-0.070302581,0.0612953,-1.146948974,0.25140271,-0.19043916,0.049833999,557,,0.027038835,0,0
66,,,Task,-0.052144773,0.019603578,-2.659961998,0.007814947,-0.090567081,-0.013722466,179,,0.00868932,1,1
67,,,Biome,0.414692724,0.313931637,1.32096506,0.186513015,-0.200601979,1.029987427,491,,0.023834951,0,0
68,,,Session,-0.002757104,0.002926681,-0.942057997,0.346162947,-0.008493294,0.002979087,631,,0.030631068,0,0
69,bayou-blue-waters,,,,,,,,,,,,,0
70,,kelp-refuge-failure-simulation,,,,,,,,,,,,0
71,,,const,-1.702439885,0.71436237,-2.383160084,0.017164728,-3.102564401,-0.302315368,218,,0.010582524,0,1
72,,,Complete_A,1.487544632,0.294637143,5.04873424,4.45E-07,0.910066443,2.065022821,32,,0.001553398,1,1
73,,,Arg_above_2,-0.405793161,0.099880465,-4.062788084,4.85E-05,-0.601555274,-0.210031048,61,,0.002961165,1,1
74,,,Mod_above_2,-0.845308957,0.138903441,-6.085586859,1.16E-09,-1.1175547,-0.573063215,16,,0.000776699,1,1
75,,,Exp_above_2,1.70172547,0.197853159,8.600951724,7.91E-18,1.313940404,2.089510536,3,,0.000145631,1,1
76,,,Time,-0.001083764,0.000844925,-1.282675216,0.199605886,-0.002739787,0.000572258,504,,0.024466019,0,0
77,,,Job,0.111600384,0.057579246,1.938205035,0.052598213,-0.001252864,0.224453633,304,,0.014757282,0,0
78,,,Task,-0.018583187,0.020685816,-0.898354086,0.368996806,-0.059126641,0.021960267,645,,0.03131068,0,0
79,,,Biome,0.426304099,0.243801284,1.748572005,0.080365029,-0.051537636,0.904145834,347,,0.01684466,0,0
80,,,Session,-0.000440306,0.002818876,-0.15619898,0.875876181,-0.005965201,0.00508459,952,,0.046213592,0,0
81,,kelp-save-urchin-barren,,,,,,,,,,,,0
82,,,const,-1.950400047,0.751812361,-2.594264404,0.009479356,-3.423925198,-0.476874896,186,,0.009029126,0,1
83,,,Complete_A,1.733537861,0.301227737,5.754907835,8.67E-09,1.143142347,2.323933376,22,,0.001067961,1,1
84,,,Arg_above_2,-0.392102548,0.097091765,-4.038473771,5.38E-05,-0.582398911,-0.201806185,62,,0.003009709,1,1
85,,,Mod_above_2,-0.907462146,0.143622694,-6.318375739,2.64E-10,-1.188957453,-0.625966838,13,,0.000631068,1,1
